category,flow_id,src_ip,dst_ip,time_s,rtt_ms
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,4.7668,1.0162
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,4.8676,10.2168
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,4.9357,1.3159
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,4.9517,10.285
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,5.1158,10.4862
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,5.294,6.5496
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,5.3002,57.4223
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,5.301,9.0686
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,5.4914,1.0594
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,5.4959,54.7698
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,5.6007,4.2269
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,5.7413,5.6249
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,5.8419,11.9749
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,5.8653,8.4708
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,5.9078,1.0352
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,5.9183,0.4517
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,5.9202,9.7166
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,6.0028,1.5484
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,6.0089,11.8701
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,6.0109,53.0818
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,6.0402,8.4199
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,6.105,3.1849
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,6.1835,79.1028
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,6.4407,1.0696
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,6.4492,36.1133
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,6.4929,8.2744
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,6.5841,49.5235
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,6.6179,8.3734
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,6.6792,8.8076
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,6.8326,0.9584
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,6.8921,9.8748
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,6.9395,7.9017
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,7.0926,10.2913
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,7.1285,1.335
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,7.1573,0.3848
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,7.2017,69.1729
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,7.2265,10.0568
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,7.4612,13.2703
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,7.5112,11.5386
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,7.5138,9.9694
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,7.5598,11.1169
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,7.9541,10.6808
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,7.9878,10.4198
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,7.9893,5.0916
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,8.0069,1.3777
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,8.1274,1.2346
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,8.1655,8.5331
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,8.1702,21.8144
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,8.206,1.0556
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,8.3051,9.1646
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,8.3123,2.0302
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,8.3134,4.4144
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,8.353,1.6637
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,8.3563,8.6813
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,8.3855,6.968
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,8.4645,1.0762
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,8.4672,9.3691
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,8.642,9.0138
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,8.6469,12.9487
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,8.7487,7.0815
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,8.7566,5.6373
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,8.7987,4.3021
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,8.8211,5.0406
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,8.8427,1.6805
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,8.9066,1.5696
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,9.0645,1.0368
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,9.0704,0.7676
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,9.1043,8.0389
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,9.247,1.3305
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,9.3576,10.195
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,9.404,1.3018
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,9.6043,1.4464
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,9.6216,1.9019
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,9.6354,7.817
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,9.9719,1.4372
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,10.116,1.0546
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,10.1409,6.562
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,10.194,1.027
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,10.2149,1.6196
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,10.237,1.3597
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,10.2941,8.5952
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,10.3092,0.6996
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,10.3283,1.5049
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,10.4156,7.2578
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,10.5569,5.4941
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,10.67,6.8487
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,10.7193,7.0207
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,10.7522,3.7675
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,10.8164,12.5184
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,10.8168,11.9095
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,10.8469,1.3578
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,10.97,1.2844
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,10.9844,11.5025
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,11.0356,43.0432
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,11.0536,1.339
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,11.1492,229.1292
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,11.2415,3.8324
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,11.3036,36.0612
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,11.3378,1.5931
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,11.3809,43.2658
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,11.4101,0.9183
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,11.5542,0.9909
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,11.6037,13.0099
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,11.6125,35.491
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,11.6521,22.2766
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,11.6627,0.8307
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,11.7719,1.4424
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,11.7891,8.7063
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,11.8205,0.3275
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,11.8652,8.5906
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,11.8766,9.2108
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,11.8876,2.1785
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,11.9355,25.7093
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,11.981,12.4
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,12.0986,1.4973
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.1467,41.8258
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.2233,47.5595
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,12.2755,0.3672
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.4259,33.7212
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.5252,48.3285
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,12.5389,1.2601
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.5581,41.3045
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.5601,35.8473
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.6825,301.1061
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.6915,52.9109
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,12.7218,0.6878
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,12.7258,11.8019
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,12.7631,0.5773
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,12.9386,1.8786
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,12.9462,35.1949
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,13.0811,1.8662
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,13.1436,7.1096
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,13.189,10.2327
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,13.2114,13.3984
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,13.2123,1.1849
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,13.2298,54.9537
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,13.2365,1.389
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,13.3003,7.902
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,13.3561,0.6366
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,13.3574,1.6413
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,13.4903,9.129
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,13.6506,44.1978
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,13.6741,45.0145
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,13.6833,13.2077
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,13.7392,0.7968
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,13.792,47.5159
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,13.8061,4.126
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,13.8233,50.7163
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,13.8698,9.3546
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,13.8857,1.2074
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,13.8929,7.5106
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,14.0894,37.1026
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,14.1062,12.3101
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,14.1414,8.8827
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,14.1843,59.8674
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,14.2242,52.6059
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,14.4437,47.2062
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,14.4552,1.1264
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,14.5213,42.6741
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,14.6091,49.709
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,14.6232,45.7192
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,14.741,41.0653
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,14.8546,7.7808
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,14.8742,32.1182
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,14.9175,13.1303
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,14.9897,4.629
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,14.9904,34.0338
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,15.0676,7.0744
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,15.2134,40.0886
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,15.2495,430.5393
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,15.3056,0.9501
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,15.5124,0.519
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,15.533,0.6607
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,15.5826,55.2108
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,15.5835,8.9757
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,15.7402,35.7703
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,15.8011,1.2457
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,15.917,181.3038
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,16.0048,11.3468
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,16.1535,1.6057
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,16.1653,56.5848
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,16.2176,7.0929
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,16.358,8.7633
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,16.3748,13.9775
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,16.391,35.131
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,16.432,36.2821
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,16.4396,13.1508
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,16.444,47.3231
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,16.5323,43.7613
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,16.5345,0.982
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,16.5863,1.4071
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,16.6114,61.3279
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,16.6666,3.7483
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,16.7334,0.4637
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,16.7491,0.5159
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,16.7789,1.1613
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,16.8954,9.0453
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,16.929,1.3633
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,16.9753,131.477
LAN (Wired),192.168.1.112:62654->172.16.2.64:443,192.168.1.112,172.16.2.64,16.9984,1.143
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,17.0007,1.2074
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,17.0472,43.3515
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,17.0942,30.1289
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,17.1128,20.9537
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,17.1502,6.8268
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,17.28,1.3231
LAN (Wired),192.168.1.112:62654->172.16.2.64:443,192.168.1.112,172.16.2.64,17.2875,1.2481
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,17.3666,0.8887
LAN (Wired),192.168.1.48:59677->172.16.5.77:80,192.168.1.48,172.16.5.77,17.4735,1.3024
LAN (Wired),192.168.1.112:62654->172.16.2.64:443,192.168.1.112,172.16.2.64,17.5066,1.4058
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,17.5172,7.4213
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,17.587,52.3893
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,17.6574,5.6686
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,17.7182,7.9466
LAN (Wired),192.168.1.112:62654->172.16.2.64:443,192.168.1.112,172.16.2.64,17.8059,1.9021
LAN (Wired),192.168.1.112:62654->172.16.2.64:443,192.168.1.112,172.16.2.64,17.8182,1.4846
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,17.8727,29.2942
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,17.9274,46.8283
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,17.9587,54.6855
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,18.0467,6.752
Remote Internet,10.0.5.220:53628->172.16.1.48:22,10.0.5.220,172.16.1.48,18.0611,45.0025
LAN (Wired),192.168.1.112:62654->172.16.2.64:443,192.168.1.112,172.16.2.64,18.0626,0.5864
LAN (Wired),192.168.1.112:62654->172.16.2.64:443,192.168.1.112,172.16.2.64,18.1319,0.7501
Campus WiFi,192.168.2.197:50634->172.16.4.95:8080,192.168.2.197,172.16.4.95,18.1712,7.3389
LAN (Wired),192.168.1.112:62654->172.16.2.64:443,192.168.1.112,172.16.2.64,18.236,0.9006
Remote Internet,10.0.5.231:58154->172.16.5.224:8080,10.0.5.231,172.16.5.224,18.2872,30.6729
Campus WiFi,192.168.2.205:53738->172.16.3.45:8080,192.168.2.205,172.16.3.45,18.4048,6.3206
